From;To;Type;Through;Data;Comment
#1083;1086;sea;2832;0;Tatar Straits
1087;1643;sea;2831;0;La Perouse Strait
1162;1165;sea;2788;0;Bahrain Strait
1309;1322;sea;2794;0;Palk Strait #Ceylon-S India
1310;1322;sea;2794;0;Palk Strait #Ceylon-S India
1384;1402;sea;2814;0;Straits of Johore
1384;1385;sea;2814;0;Straits of Johore to Singapore
1403;1413;land;2805;0;Sunda Strait
#1412;1851;sea;2782;0;Aden Strait
1412;1875;sea;2782;0;Aden Strait
1418;1421;sea;2811;0;Strait of Madura
1420;1438;sea;2811;0;Bali Strait
1438;1442;sea;2811;0;Lombok Strait
1442;1440;sea;2811;0;Sumbawa Strait
1495;1499;sea;2823;0;Hainan Strait
1457;1461;sea;2849;0;Tacloban Strait
1640;1660;land;2843;0;Fukuoka Strait
1642;1672;sea;2841;0;Hakodate Strait
#1664;1666;land;2843;0;Matsuyama Strait
1667;1659;land;2843;0;Setto Strait
1411;1408;sea;2803;0;Gunungsitoli Strait
1404;1399;land;2813;0;Palak Panang Strait
1402;1398;sea;2814;0;Tanjungpinang Strait
1458;1455;land;2848;0;Mindoro Strait
1458;1459;sea;2848;0;Mindoro Strait
1458;1460;land;2850;0;Mindoro Strait
2565;1461;land;2850;0;Cebu Strait
2565;1460;land;2850;0;Cebu Strait
1461;1463;land;2850;0;Davao Strait
1462;1460;land;2850;0;Iloilo Strait
1462;1464;sea;2851;0;Sulu Strait
1440;1439;sea;2810;0;Sumbawa-Flores Strait
1440;1441;sea;2808;0;Sumbawa-Sumba Strait
1441;1443;sea;2809;0;Sumba-Roti Strait
1443;1445;sea;2809;0;Roti-Kaupeng Strait
1439;1444;sea;2809;0;Flores-Alor Strait
1444;1446;sea;2809;0;Alor-Dili Strait
1444;1451;sea;2854;0;Alor-Aru Strait
1446;1451;sea;2854;0;Dili-Aru Strait
1450;1449;sea;2853;0;Ceram-Ambon Strait
1449;1447;sea;2852;0;Ambon Strait
1447;1448;sea;2853;0;Ternate-Jilolo Strait
1451;1453;sea;2862;0;Aru-Sorong Strait
1450;1453;sea;2853;0;Ceram-Sorong Strait
1447;1434;sea;2852;0;Ternate Strait
1437;1436;sea;2810;0;Bulon-Kendari Strait
1435;1425;sea;2812;0;Palu-Tarakan Strait
1644;1089;sea;2839;0;Nemuru-Etorofu Strait
1089;1088;sea;2839;0;Etorofu-Shumshu Strait
#1088;1074;sea;2838;0;Shumshu-Petropavlovsk Strait
1679;1678;sea;2845;0;Amari-Okinawa Strait
1637;1635;sea;2829;0;Cheju-Kwangju Strait
#
# Oceanian Straits
#
2512;2516;sea;2876;0;Cook Strait #NZ
2512;2516;sea;2881;0;Cook Strait #NZ
2537;1531;sea;2858;0;Villan Strait #New Britain-New Ireland

#
# Himalayas
#
#3535;1589;impassable;0;0;Taplejung - Shigatse
#1328;1589;impassable;0;0;Tumlong (Sikkim) - Shigatse
#1329;1589;impassable;0;0;Thimpu - Shigatse
#1329;1590;impassable;0;0;Thimpu - Lhodrak
#1329;1593;impassable;0;0;Thimpu - Tawang
#1258;1593;impassable;0;0;Gauhati - Tawang
#1260;1593;impassable;0;0;Dibrugarh - Tawang
#1259;1593;impassable;0;0;Imphal - Tawang
#3535;1592;impassable;0;0;Taplejung - Ngari
#3534;1592;impassable;0;0;Pithoragarh - Ngari
#1244;1592;impassable;0;0;Fyzabad - Ngari
#3533;1592;impassable;0;0;Dhankar - Ngari
#1226;1592;impassable;0;0;Leh - Ngari
#1327;1592;impassable;0;0;Jumla - Ngari
#1328;1592;impassable;0;0;Tumlong (Sikkim) - Ngari

#
# Himalayas ANON
#
3499;3500;impassable;0;0;Bairi - Tongren
#1488;3500;impassable;0;0;Gansu - Tongren
1488;1556;impassable;0;0;Gansu - Makhai
2607;1556;impassable;0;0;Lop Nur - Makhai
#2607;1598;impassable;0;0;Lop Nur - Khotan
1591;3544;impassable;0;0;Changtang - Nuer
3404;3544;impassable;0;0;Gerze - Nuer
#3405;3544;impassable;0;0;Rutog - Nuer
3452;3544;impassable;0;0;Khurnak Fort - Nuer
#3453;3544;impassable;0;0;Mazar - Nuer
1226;3533;impassable;0;0;Leh - Dhankar
3531;3533;impassable;0;0;Purang - Dhankar
3534;3531;impassable;0;0;Pithoragarh - Purang
1327;1589;impassable;0;0;Jumla - Shigatse
3532;1592;impassable;0;0;Simkot - Ngari
3535;1589;impassable;0;0;Taplejung - Shigatse
1328;1589;impassable;0;0;Tumlong (Sikkim) - Shigatse
1329;1589;impassable;0;0;Thimpu - Shigatse
1329;3409;impassable;0;0;Thimpu - Nyingchi
3456;3409;impassable;0;0;Trongsa - Nyingchi
3411;1590;impassable;0;0;Anini - Lhodrak
1328;1589;impassable;0;0;Tumlong - Shigatse
3532;1589;impassable;0;0;Simkot - Shigatse
3409;3410;impassable;0;0;Nyingchi - Itanagar
#3410;1590;impassable;0;0;Itanagar - Lhodrak

#
# Zagros ANON
#
3439;924;impassable;0;0;Maku - Arbil
1110;924;impassable;0;0;Urumia - Arbil
1111;924;impassable;0;0;Mahabad - Arbil
3484;924;impassable;0;0;Saqqez - Arbil
3484;925;impassable;0;0;Saqqez - Kirkuk
1118;925;impassable;0;0;Sanandaj - Kirkuk
1119;1120;impassable;0;0;Ilam - Khoramabad
1120;1133;impassable;0;0;Khoramabad - Dezful
1128;1133;impassable;0;0;Arak - Dezful
1127;1133;impassable;0;0;Isfahan - Dezful
1127;1134;impassable;0;0;Isfahan - Dehkord
1135;1134;impassable;0;0;Shiraz - Dehkord
3481;1135;impassable;0;0;Ganaveh - Shiraz
1136;1135;impassable;0;0;Bushire - Shiraz
1138;1135;impassable;0;0;Kangan - Shiraz
1138;3471;impassable;0;0;Kangan - Larestan
1141;3471;impassable;0;0;Lengeh - Larestan

#
# Alborz ANON
#
1112;1113;impassable;0;0;Ardabil - Rasht
1123;1113;impassable;0;0;Zanjan - Rasht
1124;1113;impassable;0;0;Qazvin - Rasht
1124;1114;impassable;0;0;Qazvin - Noshehr
1121;1114;impassable;0;0;Tehran - Noshehr
1121;1115;impassable;0;0;Tehran - Sari
1126;1115;impassable;0;0;Semnan - Sari
1126;1116;impassable;0;0;Semnan - Gorgan
#1149;1116;impassable;0;0;Sabzevar - Gorgan

#
# Hindu Kush ANON
#
1223;1216;impassable;0;0;Chitral - Jalalabad
3539;1216;impassable;0;0;Dhir - Jalalabad
1223;1210;impassable;0;0;Chitral - Faizabad
1217;3540;impassable;0;0;Ghazni - Landhi Kotal
1219;3540;impassable;0;0;Quetta - Landhi Kotal
1219;1228;impassable;0;0;Quetta - Multan
3327;1221;impassable;0;0;Dhadar - Kalat
1289;1221;impassable;0;0;Sukkur - Kalat

#
# Tianshan ANON
#
3461;1594;impassable;0;0;Issik-Kul - Kashgar
3461;1597;impassable;0;0;Issik-Kul - Aksu
1188;1597;impassable;0;0;Alma Ata - Aksu
#1595;1597;impassable;0;0;Ili - Aksu
1595;1188;impassable;0;0;Ili - Qaratal
#3581;3580;impassable;0;0;Tacheng - Alashankou
3581;1188;impassable;0;0;Tacheng - Qaratal
1595;3494;impassable;0;0;Ili - Korla

#
# Pamir ANON
#
3522;1594;impassable;0;0;Mughrob - Kashgar
1203;1594;impassable;0;0;Osh - Kashgar
3522;3464;impassable;0;0;Mughrob - Sarikol
1223;3475;impassable;0;0;Chitral - Qaleh Panjeh
1225;3475;impassable;0;0;Gilgit - Qaleh Panjeh
#
#
#3454;1594;impassable;0;0;Baltit - Kashgar
#1210;1594;impassable;0;0;Faizabad - Kashgar
#1225;1594;impassable;0;0;Gilgit - Kashgar
#1226;1594;impassable;0;0;Leh - Kashgar
#1226;1598;impassable;0;0;Leh - Khotan
#1226;1591;impassable;0;0;Leh - Changtang

#
# Kham ANON
#
3501;3512;impassable;0;0;Barkam - Kangding
#3501;3510;impassable;0;0;Barkam - Garze
3451;3510;impassable;0;0;Maqen - Garze
3451;3412;impassable;0;0;Maqen - Derge
3514;3497;impassable;0;0;Jiangchang - Muli
3514;3512;impassable;0;0;Jiangchang - Kangding
3511;3495;impassable;0;0;Litang - Gyalthang

#
# China - Burma ANON
#
1602;3515;impassable;0;0;Dali - Laukkai
3517;3515;impassable;0;0;Dehong - Laukkai
1341;3518;impassable;0;0;Putao - Lushui
1338;3516;impassable;0;0;Taunggyi - Jinghong

#Alps

#727;735;impassable;0;0;Bergamo-Bozen
#727;734;impassable;0;0;Bergamo-Trent
#732;735;impassable;0;0;Treviso-Bozen
#732;615;impassable;0;0;Treviso-Lienz
737;618;impassable;0;0;Gorizia-Klagenfurth
#733;618;impassable;0;0;Udine-Klagenfurt
2669;735;impassable;0;0;Sondrio-Bozen
2669;734;impassable;0;0;Sondrio-Trent
2669;611;impassable;0;0;Sondrio-Chur
2669;2568;impassable;0;0;Sondrio-Lugano
3262;734;impassable;0;0;Belluno-Trent
#3262;735;impassable;0;0;Belluno-Bozen
3262;615;impassable;0;0;Belluno-Lienz
3645;618;impassable;0;0;Tolmezzo-Klagenfurt
3645;615;impassable;0;0;Tolmezzo-Lienz
#727;611;impassable;0;0;Bergamo-Chur
#727;2568;impassable;0;0;Bergamo-Lugano
722;605;impassable;0;0;Novara-Bern
2568;722;impassable;0;0;Lugano-Novara
609;722;impassable;0;0;Sitten-Novara
606;722;impassable;0;0;Lucerne-Novara

#Alaskan Panhandle

2;6;impassable;0;0;
2;17;impassable;0;0;
1;15;impassable;0;0;
1;16;impassable;0;0;
1;17;impassable;0;0;

#Siberia

#2687;2682;impassable;0;0;Northern urals
2689;2682;impassable;0;0;Northern urals
2689;1062;impassable;0;0;Northern urals
1026;1062;impassable;0;0;Northern urals
1026;2685;impassable;0;0;Northern urals
1042;1058;impassable;0;0;Northern urals
#1042;1059;impassable;0;0;Northern urals

2659;2657;impassable;0;0;Yamal-Yenisei
2659;2692;impassable;0;0;Yamal-Yenisei
2615;2692;impassable;0;0;Yamal-Yenisei
2646;2692;impassable;0;0;Yamal-Yenisei
2654;2653;impassable;0;0;Yenisei-Yakut
2654;2673;impassable;0;0;Yenisei-Yakut
2693;2673;impassable;0;0;Yenisei-Yakut
2655;2673;impassable;0;0;Yenisei-Yakut
2655;2651;impassable;0;0;Yenisei-Yakut
2675;2651;impassable;0;0;Yenisei-Yakut


#
# The canals
#
2711;2721;canal;369;1;Kiel Canal
2781;2769;canal;1755;2;Suez Canal
2968;3001;canal;1723;3;Panama Canal
2773;2774;canal;860;4;Bosphorus Strait
2772;2773;canal;859;5;Dardanelles Strait
3112;3113;canal;55;6;Welland Canal
3414;3415;canal;1039;7;Volga-Don Portage
2707;2714;canal;994;8;Gulf of Finland-Ladoga
2714;2715;canal;995;9;Ladoga-Onega
2715;3429;canal;988;10;Onega-Vygozero
3429;2716;canal;984;11;Vygozero-White Sea
#2724;2723;canal;301;6;English Channel

#######ANON straits
2272;2235;sea;2972;0;Coro-Aruba Strait
2269;3296;sea;2973;0;Sucre-Margarita Strait
2269;2237;sea;2975;0;Sucre-Trinidad Strait
2276;2237;sea;2975;0;Tucupita-Trinidad Strait
3284;2461;sea;2987;0;Desterro-Laguna Strait
658;3305;sea;3150;0;Hawaii-Maui Strait
3305;3306;sea;3150;0;Maui-Kauai Strait
2297;3315;sea;2998;0;Ica-Chincha Strait
1730;3346;sea;2758;0;Gabes-Djerba Strait
2234;3353;sea;2972;0;Curacao-Bonaire Strait
3354;2136;sea;2924;0;La Palma-Tenerife Strait
2195;3364;sea;2986;0;Islas de la Bahía-La Ceiba Strait
276;3365;sea;2737;0;Anglesey-Holyhead Strait
3418;3366;sea;2751;0;Tavolara-Olbia Strait
3276;2209;sea;2971;0;Nueva Gerona-Havana Strait
3447;2192;sea;3448;0;Amapala-San Miguel Strait
3447;2193;sea;3448;0;Amapala-Comayagua Strait
3447;2199;sea;3448;0;Amapala-Leon Strait
1086;1083;sea;2832;0;Pogobi-Boli
1086;1084;sea;2832;0;Pogobi-Utchan
329;3667;sea;2712;0;Orust-Goteborg

#######ANON Platinean Rivers
#2360;2363;sea;3354;0;Rosario-Parana
#2360;2361;sea;3354;0;Sancti Spiritu-Parana
#2359;2361;sea;3354;0;Sancti Spiritu-Colon
#2357;2361;sea;3354;0;Sancti Spiritu-Curuzu Cuatia
#2357;2362;sea;3355;0;Reconquista-Curuzu Cuatia
#2356;2362;sea;3355;0;Reconquista-Corrientes
#2356;2364;sea;3355;0;Resistencia-Corrientes
#2340;2356;sea;3356;0;Corrientes-Pilar
#2358;2341;sea;3356;0;Santo Tomas-Encarnacion
#2554;2341;sea;3356;0;Misiones-Encarnacion
#2340;2364;sea;3357;0;Pilar-Resistencia
#2340;2366;sea;3357;0;Pilar-Formosa
#2339;2366;sea;3357;0;Asuncion-Formosa
#2339;2337;sea;3357;0;Asuncion-Fortin Falcon
#2342;2337;sea;3357;0;San Pedro-Fortin Falcon
#2343;2337;sea;3358;0;Concepcion-Fortin Falcon
#2343;2338;sea;3358;0;Concepcion-Puerto Guarani
#2420;2338;sea;3358;0;Iguatemi-Puerto Guarani
#2416;2338;sea;3358;0;Dourados-Puerto Guarani
#2419;2338;sea;3358;0;Coxim-Puerto Guarani
#2359;2345;sea;3359;0;Colon-Paysandu
#2359;2346;sea;3359;0;Colon-Tacuarembo


#######ANON MIDDLEAST
1174;3335;sea;2785;0;Salalah-Khuriya Muriyah Strait

#
# ANON Maracaibo Lake
#
3610;2270;sea;3609;0;Cabimas - Maracaibo
3610;3614;sea;3609;0;Cabimas - Sinamaica

#
# Ada Kaleh Island - Danube ANON
#
665;3631;sea;3416;0;Tirgu Jiu - Ada Kaleh
795;3631;sea;3416;0;Bor - Ada Kaleh
653;3631;sea;3416;0;Resita - Ada Kaleh

#
# Piss islands - Pacific ANON
#
2553;3584;sea;3182;0;Tuamotus - Vahitahi
2553;3585;sea;3182;0;Tuamotus - Vairaatea
2553;3586;sea;3182;0;Tuamotus - Nukutavake
2553;3587;sea;3182;0;Tuamotus - Pinaki
3584;3585;sea;3182;0;Vairaatea - Vahitahi
3586;3585;sea;3182;0;Nukutavake - Vahitahi
3586;3587;sea;3182;0;Nukutavake - Pinaki

#######ANON USA-CANADA
65;67;sea;2943;0;Quebec-Rimouski
65;66;sea;2943;0;Quebec-Sherbrooke
64;66;sea;2943;0;Trois rivieres-Sherbrooke
61;67;sea;2943;0;Chicoutimi-Rimouski
56;239;sea;2943;0;Kingston-Watertown
173;54;sea;3113;0;Detroit-Windsor
177;176;sea;3114;0;Traverse City-Marquette
51;177;sea;3114;0;Sault Ste Marie-Marquette
3391;5;sea;3013;0;Kodiak-Dutch Harbor

############ANON Caucasus
3329;3293;impassable;0;0;Maykop-Sochi
3329;1095;impassable;0;0;Maykop-Sukhumi
3329;3298;impassable;0;0;Maykop-Zugdidi
3329;3274;impassable;0;0;Maykop-Svaneti
1056;3274;impassable;0;0;Pyatigorsk-Svaneti
1056;1092;impassable;0;0;Pyatigorsk-Kutaisi
1054;1092;impassable;0;0;Vladikavkaz-Kutaisi
1055;3287;impassable;0;0;Grozny-Telavi
1053;3287;impassable;0;0;Gunib-Telavi
3292;3287;impassable;0;0;Kumukh-Telavi
3292;3288;impassable;0;0;Kumukh-Zakatala
3289;3288;impassable;0;0;Tshakur-Zakatala
3289;1104;impassable;0;0;Tshakur-Sheki
3289;1103;impassable;0;0;Tshakur-Siyazen
1091;1055;impassable;0;0;Pasanauri-Grozny

############ANON CARPATHIANS
653;665;impassable;0;0;Resitsa-Tirgu Jiu
3628;665;impassable;0;0;Lugoj-Tirgu Jiu
656;665;impassable;0;0;Deva-Tirgu Jiu
659;667;impassable;0;0;Brasso-Tirgoviste
660;672;impassable;0;0;Udvarhely-Bacau 
660;663;impassable;0;0;Udvarhely-Suceava
3633;3655;impassable;0;0;Baia Mare-Kolomiya 
3630;3655;impassable;0;0;Khust-Kolomiya
3654;3629;impassable;0;0;Krynica-Svaliava
638;3654;impassable;0;0;Roznava-Krynica
638;704;impassable;0;0;Roznava-Neusandez
636;704;impassable;0;0;Bistrica-Neusandez
659;3632;impassable;0;0;Brasso-Focsani

#ANON CRIMEA
964;3670;impassable;0;0;Feodosia-Simferopol
964;3671;impassable;0;0;Yalta-Simferopol

#ANON Madagascar
2119;2115;impassable;0;0;Tananarive-Toamasina
3682;2119;impassable;0;0;Antsirabe-Toamasina
3682;2122;impassable;0;0;Antsirabe-Menabe
2119;2116;impassable;0;0;Fianarantsoa-Toamasina
2118;2116;impassable;0;0;Fianarantsoa-Tolanaro
#2118;3678;impassable;0;0;Ambositra-Tolanaro
2122;3678;impassable;0;0;Ambositra-Toliara
2115;2122;impassable;0;0;Tananarive-Toliara

3677;2120;sea;2902;0;Hell-Ville-Antsiranana Strait
3677;2121;sea;2902;0;Hell-Ville-Mahajanga Strait
3675;3676;sea;2907;0;Sambava-Sainte-Marie Strait

#ANON Comoros
2123;3679;sea;2907;0;Grand Comoro-Moheli Strait
3679;3680;sea;2907;0;Moheli-Anjouan Strait
2123;3680;sea;2907;0;Grand Comoro-Anjouan Strait
3680;2124;sea;2907;0;Anjouan-Mayotte Strait

#ANON Greece
3685;823;sea;2772;0;Samothrace-Kavala Strait
832;3683;sea;2772;0;Volos-Sporades Strait
838;3683;sea;2772;0;Volos-Khalkis Strait
838;835;sea;2772;0;Amfissa-Khalkis Strait
838;836;sea;2772;0;Lamia-Khalkis Strait
838;832;sea;2772;0;Volos-Khalkis Strait
3684;859;sea;2773;0;Imbros-Gallipoli Strait
3684;865;sea;2773;0;Imbros-Canakale Strait
874;875;impassable;0;0;Burdur-Antalya
873;875;impassable;0;0;Konya-Antalya
873;895;impassable;0;0;Konya-Silifke
3432;894;impassable;0;0;Karaman-Adana
3432;3433;impassable;0;0;Karaman-Kozan
879;3433;impassable;0;0;Sivas-Kozan
882;879;impassable;0;0;Trebizond-Sivas
882;888;impassable;0;0;Trebizond-Erzincan
3320;888;impassable;0;0;Rize-Erzincan
3320;887;impassable;0;0;Rize-Erzurum
# 871;874;impassable;0;0;Denizli-Burdur
875;871;impassable;0;0;Antalya-Denizli
3433;896;impassable;0;0;Kozan-Marash
894;896;impassable;0;0;Adana-Marash
898;896;impassable;0;0;Antep-Marash
881;876;impassable;0;0;Bolu-Ankara
880;876;impassable;0;0;Kastamonu-Ankara
877;3431;impassable;0;0;Amasya-Cankiri
877;880;impassable;0;0;Amasya-Kastamonu
898;894;impassable;0;0;Antep-Adana

#ANON Lebanon
#3560;902;impassable;0;0;Zahle-Damascus
3560;3324;impassable;0;0;Zahle-Golan
912;902;impassable;0;0;Baalbek-Damascus
912;903;impassable;0;0;Baalbek-Homs

#
# Adriatic/Ionian Mediterranean - ANON
#
770;3643;sea;2761;0;Pola-Bakar Strait
770;781;sea;2761;0;Pola-Zadar Strait
781;3643;sea;2761;0;Zadar-Bakar Strait
780;3638;sea;2761;0;Split-Korcula Strait
782;3638;sea;2762;0;Dubrovnik-Korcula Strait
782;3638;sea;2762;0;Dubrovnik-Korcula Strait
837;827;sea;2765;0;Missolonghi-Zante Strait
837;824;sea;2765;0;Missolonghi-Janina Strait
842;827;sea;2765;0;Patras-Zante Strait
837;842;sea;2765;0;Missolonghi-Patras Strait
835;842;sea;2765;0;Amfissa-Patras Strait
835;840;sea;2765;0;Amfissa-Corinth Strait
839;3644;sea;2765;0;Napflion-Kythira Strait
