;;;;;;;;;;;;;x
return_cores_ACH_desc;We hold provinces that Antioch has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ALE_title;Return cores to Alexandria ;;;;;;;;;;;;x,,
return_cores_ALE_desc;We hold provinces that Alexandria has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LAZ_title;Return cores to Lazistan ;;;;;;;;;;;;x,,
return_cores_LAZ_desc;We hold provinces that Lazistan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KSH_title;Return cores to Kashubia ;;;;;;;;;;;;x,,
return_cores_KSH_desc;We hold provinces that Kashubia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_HAZ_title;Return cores to Hazaristan ;;;;;;;;;;;;x,,
return_cores_HAZ_desc;We hold provinces that Hazaristan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KHA_title;Return cores to Kharan ;;;;;;;;;;;;x,,
return_cores_KHA_desc;We hold provinces that Kharan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LBE_title;Return cores to Las Bela ;;;;;;;;;;;;x,,
return_cores_LBE_desc;We hold provinces that Las Bela has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LEO_title;Return cores to Leon ;;;;;;;;;;;;x,,
return_cores_LEO_desc;We hold provinces that Leon has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ANU_title;Return cores to Andalusia ;;;;;;;;;;;;x,,
return_cores_ANU_desc;We hold provinces that Andalusia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ANK_title;Return cores to Ankara ;;;;;;;;;;;;x,,
return_cores_ANK_desc;We hold provinces that Ankara has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_GAC_title;Return cores to Georgia-Armenia ;;;;;;;;;;;;x,,
return_cores_GAC_desc;We hold provinces that Georgia-Armenia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_GGE_title;Return cores to Greater Georgia ;;;;;;;;;;;;x,,
return_cores_GGE_desc;We hold provinces that Greater Georgia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SMI_title;Return cores to Sapmi ;;;;;;;;;;;;x,,
return_cores_SMI_desc;We hold provinces that Sapmi has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LPK_title;Return cores to Lipka ;;;;;;;;;;;;x,,
return_cores_LPK_desc;We hold provinces that Lipka has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_GGZ_title;Return cores to Gagauzia ;;;;;;;;;;;;x,,
return_cores_GGZ_desc;We hold provinces that Gagauzia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MND_title;Return cores to Mandaeans ;;;;;;;;;;;;x,,
return_cores_MND_desc;We hold provinces that Mandaeans has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_JHH_title;Return cores to Trinidade ;;;;;;;;;;;;x,,
return_cores_JHH_desc;We hold provinces that Trinidade has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ULS_title;Return cores to Ulster ;;;;;;;;;;;;x,,
return_cores_ULS_desc;We hold provinces that Ulster has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CNY_title;Return cores to Canarias ;;;;;;;;;;;;x,,
return_cores_CNY_desc;We hold provinces that Canarias has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ARB_title;Return cores to Aruba ;;;;;;;;;;;;x,,
return_cores_ARB_desc;We hold provinces that Aruba has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BON_title;Return cores to Bonaire ;;;;;;;;;;;;x,,
return_cores_BON_desc;We hold provinces that Bonaire has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CUR_title;Return cores to Curacao ;;;;;;;;;;;;x,,
return_cores_CUR_desc;We hold provinces that Curacao has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CSC_title;Return cores to Chan Santa Cruz ;;;;;;;;;;;;x,,
return_cores_CSC_desc;We hold provinces that Chan Santa Cruz has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ARP_title;Return cores to Arpitania ;;;;;;;;;;;;x,,
return_cores_ARP_desc;We hold provinces that Arpitania has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_POY_title;Return cores to Poyais ;;;;;;;;;;;;x,,
return_cores_POY_desc;We hold provinces that Poyais has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_NSC_title;Return cores to Nova Scotia ;;;;;;;;;;;;x,,
return_cores_NSC_desc;We hold provinces that Nova Scotia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PEI_title;Return cores to Prince Edward ;;;;;;;;;;;;x,,
return_cores_PEI_desc;We hold provinces that Prince Edward has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_INF_title;Return cores to Irish Newfoundland ;;;;;;;;;;;;x,,
return_cores_INF_desc;We hold provinces that Irish Newfoundland has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_YWL_title;Return cores to The Welsh Colony ;;;;;;;;;;;;x,,
return_cores_YWL_desc;We hold provinces that The Welsh Colony has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PWL_title;Return cores to Pre Welsh Colony ;;;;;;;;;;;;x,,
return_cores_PWL_desc;We hold provinces that Pre Welsh Colony has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SUR_title;Return cores to Suriname ;;;;;;;;;;;;x,,
return_cores_SUR_desc;We hold provinces that Suriname has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_FGU_title;Return cores to Guyane ;;;;;;;;;;;;x,,
return_cores_FGU_desc;We hold provinces that Guyane has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_UGU_title;Return cores to United Guyanas ;;;;;;;;;;;;x,,
return_cores_UGU_desc;We hold provinces that United Guyanas has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_T4V_title;Return cores to Tavolara ;;;;;;;;;;;;x,,
return_cores_T4V_desc;We hold provinces that Tavolara has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_GLP_title;Return cores to Guadeloupe ;;;;;;;;;;;;x,,
return_cores_GLP_desc;We hold provinces that Guadeloupe has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_GND_title;Return cores to Grenada ;;;;;;;;;;;;x,,
return_cores_GND_desc;We hold provinces that Grenada has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BRB_title;Return cores to Barbados ;;;;;;;;;;;;x,,
return_cores_BRB_desc;We hold provinces that Barbados has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D4N_title;Return cores to Dutch Antilles ;;;;;;;;;;;;x,,
return_cores_D4N_desc;We hold provinces that Dutch Antilles has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_C4R_title;Return cores to NOTCARICOM ;;;;;;;;;;;;x,,
return_cores_C4R_desc;We hold provinces that NOTCARICOM has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_T0V_title;Return cores to Tovar Colony ;;;;;;;;;;;;x,,
return_cores_T0V_desc;We hold provinces that Tovar Colony has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_T0B_title;Return cores to Pre Tovar Colony ;;;;;;;;;;;;x,,
return_cores_T0B_desc;We hold provinces that Pre Tovar Colony has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BND_title;Return cores to Banda Oriental ;;;;;;;;;;;;x,,
return_cores_BND_desc;We hold provinces that Banda Oriental has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_C4L_title;Return cores to Alta California ;;;;;;;;;;;;x,,
return_cores_C4L_desc;We hold provinces that Alta California has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_COM_title;Return cores to Comancheria ;;;;;;;;;;;;x,,
return_cores_COM_desc;We hold provinces that Comancheria has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_TRG_title;Return cores to Texas-Rio Grande ;;;;;;;;;;;;x,,
return_cores_TRG_desc;We hold provinces that Texas-Rio Grande has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_S0N_title;Return cores to S0n0ra ;;;;;;;;;;;;x,,
return_cores_S0N_desc;We hold provinces that S0n0ra has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ARD_title;Return cores to Aridoamerica ;;;;;;;;;;;;x,,
return_cores_ARD_desc;We hold provinces that Aridoamerica has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ANF_title;Return cores to Andine Federation ;;;;;;;;;;;;x,,
return_cores_ANF_desc;We hold provinces that Andine Federation has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ME5_title;Return cores to Khamsa ;;;;;;;;;;;;x,,
return_cores_ME5_desc;We hold provinces that Khamsa has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_T4B_title;Return cores to Tabasco ;;;;;;;;;;;;x,,
return_cores_T4B_desc;We hold provinces that Tabasco has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KUN_title;Return cores to Actual Badakhshan ;;;;;;;;;;;;x,,
return_cores_KUN_desc;We hold provinces that Actual Badakhshan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ANZ_title;Return cores to Anazzah ;;;;;;;;;;;;x,,
return_cores_ANZ_desc;We hold provinces that Anazzah has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AHW_title;Return cores to Arabistan ;;;;;;;;;;;;x,,
return_cores_AHW_desc;We hold provinces that Arabistan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_JLI_title;Return cores to Jelali ;;;;;;;;;;;;x,,
return_cores_JLI_desc;We hold provinces that Jelali has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_TBA_title;Return cores to Tabarestan ;;;;;;;;;;;;x,,
return_cores_TBA_desc;We hold provinces that Tabarestan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ZFU_title;Return cores to Zafaranlu ;;;;;;;;;;;;x,,
return_cores_ZFU_desc;We hold provinces that Zafaranlu has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LUR_title;Return cores to Luristan ;;;;;;;;;;;;x,,
return_cores_LUR_desc;We hold provinces that Luristan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BRM_title;Return cores to Baguirmi ;;;;;;;;;;;;x,,
return_cores_BRM_desc;We hold provinces that Baguirmi has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ADW_title;Return cores to Adamawa ;;;;;;;;;;;;x,,
return_cores_ADW_desc;We hold provinces that Adamawa has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_HNZ_title;Return cores to Hunza ;;;;;;;;;;;;x,,
return_cores_HNZ_desc;We hold provinces that Hunza has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_HER_title;Return cores to Herat ;;;;;;;;;;;;x,,
return_cores_HER_desc;We hold provinces that Herat has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CHN_title;Return cores to Chin ;;;;;;;;;;;;x,,
return_cores_CHN_desc;We hold provinces that Chin has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_TR1_title;Return cores to Tripura ;;;;;;;;;;;;x,,
return_cores_TR1_desc;We hold provinces that Tripura has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_NGA_title;Return cores to Nagalim ;;;;;;;;;;;;x,,
return_cores_NGA_desc;We hold provinces that Nagalim has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_WKH_title;Return cores to Wakhan ;;;;;;;;;;;;x,,
return_cores_WKH_desc;We hold provinces that Wakhan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_DWZ_title;Return cores to Darwaz ;;;;;;;;;;;;x,,
return_cores_DWZ_desc;We hold provinces that Darwaz has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KHR_title;Return cores to Khorasan ;;;;;;;;;;;;x,,
return_cores_KHR_desc;We hold provinces that Khorasan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KBH_title;Return cores to Cooch Behar ;;;;;;;;;;;;x,,
return_cores_KBH_desc;We hold provinces that Cooch Behar has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_NAR_title;Return cores to Nagar ;;;;;;;;;;;;x,,
return_cores_NAR_desc;We hold provinces that Nagar has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_DHR_title;Return cores to Dhir ;;;;;;;;;;;;x,,
return_cores_DHR_desc;We hold provinces that Dhir has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SWT_title;Return cores to Swat ;;;;;;;;;;;;x,,
return_cores_SWT_desc;We hold provinces that Swat has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KHP_title;Return cores to Khaipur ;;;;;;;;;;;;x,,
return_cores_KHP_desc;We hold provinces that Khaipur has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_GLN_title;Return cores to Gilan ;;;;;;;;;;;;x,,
return_cores_GLN_desc;We hold provinces that Gilan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_VOJ_title;Return cores to Vojvodina ;;;;;;;;;;;;x,,
return_cores_VOJ_desc;We hold provinces that Vojvodina has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PNC_title;Return cores to Polish National Committee ;;;;;;;;;;;;x,,
return_cores_PNC_desc;We hold provinces that Polish National Committee has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KSM_title;Return cores to Kurland-Semigallia ;;;;;;;;;;;;x,,
return_cores_KSM_desc;We hold provinces that Kurland-Semigallia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LVN_title;Return cores to Livonia ;;;;;;;;;;;;x,,
return_cores_LVN_desc;We hold provinces that Livonia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ESG_title;Return cores to Esthonia ;;;;;;;;;;;;x,,
return_cores_ESG_desc;We hold provinces that Esthonia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AQU_title;Return cores to Aquileia ;;;;;;;;;;;;x,,
return_cores_AQU_desc;We hold provinces that Aquileia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_HPL_title;Return cores to Habsburg Poland ;;;;;;;;;;;;x,,
return_cores_HPL_desc;We hold provinces that Habsburg Poland has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PLR_title;Return cores to Poland-Lithuania-Ruthenia ;;;;;;;;;;;;x,,
return_cores_PLR_desc;We hold provinces that Poland-Lithuania-Ruthenia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PRC_title;Return cores to Polonia-Ruthenia ;;;;;;;;;;;;x,,
return_cores_PRC_desc;We hold provinces that Polonia-Ruthenia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PRB_title;Return cores to Polonia-Ruthenia-Bohemia ;;;;;;;;;;;;x,,
return_cores_PRB_desc;We hold provinces that Polonia-Ruthenia-Bohemia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BDB_title;Return cores to Brandenburg ;;;;;;;;;;;;x,,
return_cores_BDB_desc;We hold provinces that Brandenburg has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PRD_title;Return cores to Ducal Prussia ;;;;;;;;;;;;x,,
return_cores_PRD_desc;We hold provinces that Ducal Prussia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MSR_title;Return cores to Masuria ;;;;;;;;;;;;x,,
return_cores_MSR_desc;We hold provinces that Masuria has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CPU_title;Return cores to Carpatho-Ruthenia ;;;;;;;;;;;;x,,
return_cores_CPU_desc;We hold provinces that Carpatho-Ruthenia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BBD_title;Return cores to Baltic-Baltic Duchy ;;;;;;;;;;;;x,,
return_cores_BBD_desc;We hold provinces that Baltic-Baltic Duchy has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_M1D_title;Return cores to Boina ;;;;;;;;;;;;x,,
return_cores_M1D_desc;We hold provinces that Boina has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_M2D_title;Return cores to Antankarana ;;;;;;;;;;;;x,,
return_cores_M2D_desc;We hold provinces that Antankarana has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_M3D_title;Return cores to Antongila ;;;;;;;;;;;;x,,
return_cores_M3D_desc;We hold provinces that Antongila has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_M4D_title;Return cores to Menabe ;;;;;;;;;;;;x,,
return_cores_M4D_desc;We hold provinces that Menabe has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_M5D_title;Return cores to Toamasina ;;;;;;;;;;;;x,,
return_cores_M5D_desc;We hold provinces that Toamasina has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CM0_title;Return cores to Anjouan ;;;;;;;;;;;;x,,
return_cores_CM0_desc;We hold provinces that Anjouan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CM1_title;Return cores to Moheli ;;;;;;;;;;;;x,,
return_cores_CM1_desc;We hold provinces that Moheli has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CM2_title;Return cores to Ngazidja ;;;;;;;;;;;;x,,
return_cores_CM2_desc;We hold provinces that Ngazidja has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CM3_title;Return cores to Mayotte ;;;;;;;;;;;;x,,
return_cores_CM3_desc;We hold provinces that Mayotte has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CM4_title;Return cores to Itsandra ;;;;;;;;;;;;x,,
return_cores_CM4_desc;We hold provinces that Itsandra has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MXM_title;Return cores to Habsburg Mexico ;;;;;;;;;;;;x,,
return_cores_MXM_desc;We hold provinces that Habsburg Mexico has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_M3X_title;Return cores to Conservative Mexico ;;;;;;;;;;;;x,,
return_cores_M3X_desc;We hold provinces that Conservative Mexico has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KGC_title;Return cores to Knights of the Golden Circle ;;;;;;;;;;;;x,,
return_cores_KGC_desc;We hold provinces that Knights of the Golden Circle has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BKY_title;Return cores to Bukey Horde ;;;;;;;;;;;;x,,
return_cores_BKY_desc;We hold provinces that Bukey Horde has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_J00_title;Return cores to Senior Juz ;;;;;;;;;;;;x,,
return_cores_J00_desc;We hold provinces that Senior Juz has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
